timestamp_iso,timestamp_ms,overall_cpu_pct,load1,load5,load15,burning,workers,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,freq0_khz,freq1_khz,freq2_khz,freq3_khz,temp0_c,voltage_v,current_a,power_w,voltage_raw,current_raw,power_raw
2025-09-29T13:37:54.853003,1759153074853,93,4.25439453125,3.01513671875,2.13232421875,1,6,89,91,93,97,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63666
2025-09-29T13:37:55.354511,1759153075354,92,4.25439453125,3.01513671875,2.13232421875,1,6,91,95,92,89,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63666
2025-09-29T13:37:55.855492,1759153075855,87,4.25439453125,3.01513671875,2.13232421875,1,6,88,86,86,89,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63665
2025-09-29T13:37:56.357206,1759153076357,91,4.25439453125,3.01513671875,2.13232421875,1,6,83,93,94,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63665
2025-09-29T13:37:56.857958,1759153076857,91,4.25439453125,3.01513671875,2.13232421875,1,6,89,91,92,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63665
2025-09-29T13:37:57.359271,1759153077359,91,4.25439453125,3.01513671875,2.13232421875,1,6,84,91,93,95,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63665
2025-09-29T13:37:57.858995,1759153077858,89,4.25439453125,3.01513671875,2.13232421875,1,6,87,90,89,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63665
2025-09-29T13:37:58.359842,1759153078359,89,4.25439453125,3.01513671875,2.13232421875,1,6,90,89,91,87,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63665
2025-09-29T13:37:58.859839,1759153078859,90,4.634765625,3.11474609375,2.16943359375,1,6,91,93,91,86,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.367,216,20607,63665
2025-09-29T13:37:59.361001,1759153079361,91,4.634765625,3.11474609375,2.16943359375,1,6,89,87,93,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63664
